split,acc,f1,auc,thr,tp,fp,fn,tn
T1,0.6249999992187499,0.7692307630769232,0.5416666865348816,15.0,5,2,1,0
T2,0.7857142851530612,0.7272727213223142,0.9387754797935486,15.0,4,0,3,7
