epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
0,2408.226806640625,46.39375686645508,49.07368850708008,2174.65771484375,45.05168151855469,46.63322448730469
1,2198.554931640625,44.26212692260742,46.88875198364258,1980.29345703125,42.772220611572266,44.50048828125
2,1936.1885986328125,41.71891784667969,44.00214385986328,1698.6661376953125,39.12134552001953,41.21487808227539
3,1737.662109375,39.12783432006836,41.68527603149414,1373.73193359375,34.078102111816406,37.06388854980469
4,1507.1343994140625,37.01555633544922,38.82183074951172,1091.7298583984375,28.123321533203125,33.04133605957031
5,1383.69580078125,34.79547882080078,37.198062896728516,874.578369140625,22.767854690551758,29.573270797729492
6,1119.6019287109375,31.96381950378418,33.460453033447266,737.2640380859375,19.412357330322266,27.152606964111328
7,910.643798828125,28.634092330932617,30.176876068115234,615.3687744140625,19.46265411376953,24.80662727355957
8,731.8046264648438,24.91320037841797,27.05188751220703,546.8386840820312,20.037246704101562,23.38458251953125
9,595.6357421875,22.239343643188477,24.405649185180664,716.2674560546875,23.634132385253906,26.763174057006836
10,418.8666076660156,18.855876922607422,20.466230392456055,1286.5833740234375,31.307228088378906,35.86897659301758
11,275.0912170410156,14.326552391052246,16.585874557495117,2111.47705078125,39.032249450683594,45.950809478759766
12,200.50747680664062,11.86975383758545,14.160066604614258,4387.140625,56.22329330444336,66.2354965209961
13,105.5429916381836,8.462423324584961,10.273411750793457,6566.7919921875,68.89535522460938,81.0357437133789
14,93.07511901855469,8.212791442871094,9.647544860839844,7459.9150390625,74.45720672607422,86.37079620361328
15,73.99573516845703,6.954826354980469,8.60207748413086,6384.5341796875,69.18302917480469,79.90328216552734
16,63.84428405761719,6.417324542999268,7.990262031555176,6567.3125,70.29234313964844,81.03895568847656
17,74.18537902832031,7.159218788146973,8.613093376159668,9769.11328125,84.70216369628906,98.83882141113281
18,247.7183380126953,12.659418106079102,15.739070892333984,9539.3466796875,86.66290283203125,97.6695785522461
19,82.51578521728516,7.192636013031006,9.083820343017578,4648.89892578125,61.66175079345703,68.18283081054688
20,63.35043716430664,6.351613521575928,7.959298610687256,1730.286376953125,37.01289367675781,41.596710205078125
