epoch,loss,mae,rmse,val_loss,val_mae,val_rmse
0,0.25923845171928406,0.429961621761322,0.5091546177864075,0.04745339974761009,0.18818387389183044,0.21783801913261414
1,0.152845099568367,0.2988954484462738,0.39095407724380493,0.07788340747356415,0.24768562614917755,0.2790759801864624
2,0.11467307060956955,0.24189899861812592,0.3386341333389282,0.08023205399513245,0.19855889678001404,0.28325262665748596
3,0.04072261601686478,0.15022601187229156,0.2017984539270401,0.06667342036962509,0.23406925797462463,0.25821197032928467
4,0.053049493581056595,0.17949765920639038,0.23032476007938385,0.039848390966653824,0.1719081550836563,0.19962061941623688
5,0.033299192786216736,0.14659328758716583,0.18248066306114197,0.037422530353069305,0.13811923563480377,0.19344903528690338
6,0.03487984091043472,0.14627458155155182,0.18676145374774933,0.039615824818611145,0.16108717024326324,0.19903723895549774
7,0.01610010676085949,0.10015416890382767,0.12688618898391724,0.05379321426153183,0.18506434559822083,0.23193363845348358
8,0.012782388366758823,0.09166675060987473,0.11305922269821167,0.05827459692955017,0.1811148226261139,0.2414013147354126
9,0.018230825662612915,0.10739832371473312,0.13502158224582672,0.08845731616020203,0.20857545733451843,0.2974177598953247
10,0.016067394986748695,0.10420297831296921,0.12675723433494568,0.06145124137401581,0.18439888954162598,0.24789360165596008
11,0.008770343847572803,0.07170785963535309,0.09365011751651764,0.03650805726647377,0.15860924124717712,0.1910708248615265
12,0.010222863405942917,0.0740756168961525,0.10110817849636078,0.0313844159245491,0.14653223752975464,0.1771564781665802
13,0.01293993927538395,0.08338165283203125,0.11375385522842407,0.042981307953596115,0.17266857624053955,0.20731933414936066
14,0.018827859312295914,0.10315291583538055,0.13721464574337006,0.04414455592632294,0.17405816912651062,0.21010605990886688
15,0.009266002103686333,0.07800263911485672,0.09626007825136185,0.06234326586127281,0.19966623187065125,0.2496863305568695
16,0.010750969871878624,0.07309025526046753,0.10368688404560089,0.07496829330921173,0.19808024168014526,0.27380338311195374
17,0.008102500811219215,0.06935220211744308,0.09001389145851135,0.0824279859662056,0.20225825905799866,0.28710275888442993
18,0.007798091042786837,0.06791698932647705,0.08830679953098297,0.05541647970676422,0.1702374517917633,0.2354070544242859
19,0.007181815803050995,0.06189708784222603,0.08474559336900711,0.0396064817905426,0.1588115394115448,0.19901376962661743
20,0.00483746500685811,0.056558266282081604,0.06955188512802124,0.040513068437576294,0.16307853162288666,0.20127858221530914
21,0.004822622053325176,0.05682627484202385,0.06944510340690613,0.04410158842802048,0.17519095540046692,0.2100037783384323
22,0.009644795209169388,0.07584775984287262,0.09820792078971863,0.04482511058449745,0.169463112950325,0.21171940863132477
23,0.007664248812943697,0.06355811655521393,0.08754569292068481,0.0501488521695137,0.16941232979297638,0.22393938899040222
24,0.0040065632201731205,0.05215347558259964,0.06329742074012756,0.045082055032253265,0.17456969618797302,0.2123253494501114
