split,rmse,nrmse_range,mae,y_scale_used,replicate_y_scaling
T1,12.940506935119629,0.3318078700461936,9.467046737670898,80.0,True
T2,17.343076705932617,0.48175213058653044,14.243151664733887,80.0,True
