epoch,acc,auc,loss,val_acc,val_auc,val_loss
0,0.6976743936538696,0.7793477773666382,0.6016889214515686,0.625,0.3333333432674408,0.7294946908950806
1,0.8139534592628479,0.917391300201416,0.3884862959384918,0.5,0.3333333432674408,1.1300028562545776
2,0.9069767594337463,0.9869564771652222,0.19996865093708038,0.625,0.5416666865348816,0.89887535572052
3,0.9534883499145508,0.9923912882804871,0.14152255654335022,0.5,0.5,1.4383211135864258
4,0.9767441749572754,0.997826099395752,0.0659361332654953,0.625,0.4166666865348816,3.0460610389709473
5,1.0,1.0,0.02502792701125145,0.625,0.375,4.166250228881836
6,1.0,1.0,0.009118927642703056,0.625,0.4583333432674408,5.0413360595703125
7,1.0,1.0,0.003610750660300255,0.5,0.4583333432674408,5.728635787963867
8,1.0,1.0,0.0015700324438512325,0.5,0.5,6.38244104385376
9,1.0,1.0,0.0003702584945131093,0.5,0.5,6.9512939453125
10,1.0,1.0,0.00036106802872382104,0.5,0.3333333432674408,7.502202987670898
11,1.0,1.0,0.0001096601554309018,0.5,0.3333333432674408,8.0086669921875
12,1.0,1.0,2.543613845773507e-05,0.5,0.3333333432674408,8.422266006469727
13,1.0,1.0,1.3192499864089768e-05,0.5,0.3333333432674408,8.746854782104492
14,1.0,1.0,9.605533705325797e-06,0.5,0.3333333432674408,8.999996185302734
