feature_idx,pearson_r,pearson_p_emp,pearson_sig,spearman_rho,spearman_p,n_used
0,0.17618606566719325,0.06393606393606394,False,0.21369478852234453,0.023046132632135584,113
1,0.11940387288349363,0.1918081918081918,False,0.1836324476536055,0.05154368598118174,113
2,0.12107811980463394,0.1938061938061938,False,0.15833983542291175,0.09392530689131194,113
3,0.07396573962834731,0.4035964035964036,False,0.10887725642426516,0.20703846457076067,136
4,0.1937138985061368,0.014985014985014986,True,0.22785386113544925,0.007633345925961883,136
5,0.022566425621026155,0.7822177822177823,False,-0.013112239988782096,0.8795744062089252,136
6,0.22430845465815163,0.01098901098901099,True,0.2358826014123468,0.005699746021348342,136
7,0.0975278329943713,0.25774225774225773,False,0.08814701520374729,0.30750961624384354,136
8,0.08870046482429918,0.2957042957042957,False,0.12153526735133895,0.15869304613350887,136
9,0.07109787943969319,0.4035964035964036,False,0.11110746034525848,0.19783100699587064,136
10,-0.013770370240812839,0.8871128871128872,False,-0.04634172360776914,0.6259720528239328,113
11,0.046772138305868904,0.6193806193806194,False,0.009118475048549027,0.9236357629478511,113
12,0.1153894924575557,0.23376623376623376,False,0.13564468353614906,0.15199491727464498,113
13,0.08510508075845657,0.35364635364635366,False,0.10692106615099205,0.2596647510949894,113
14,0.12012921010008835,0.21578421578421578,False,0.07839110059050405,0.40919298563980105,113
15,-0.19376902241249688,0.03596403596403597,False,-0.1875433725474661,0.0466864356374716,113
16,0.020430105662447136,0.8241758241758241,False,0.006462077192762147,0.9458415533096441,113
17,-0.16513362641875068,0.0919080919080919,False,-0.15607074121646297,0.09879161158337182,113
18,-0.19850487088763086,0.030969030969030968,False,-0.1947547981052521,0.0387256528374577,113
19,-0.21772338268287958,0.02197802197802198,True,-0.20383959457559783,0.030346134944311248,113
20,-0.05464761444650268,0.5794205794205795,False,-0.04583654493471932,0.629745485227981,113
21,-0.006191649015060807,0.951048951048951,False,-0.017390775819739676,0.8549354633974984,113
22,-0.05973322530927144,0.4785214785214785,False,-0.05420064117714179,0.5308498172100162,136
23,-0.10862358317018725,0.21878121878121878,False,-0.07061812242346097,0.4139508097648273,136
24,0.09164387948244326,0.27172827172827174,False,0.06812711092015632,0.43065305726034464,136
25,-0.08681808633022806,0.3076923076923077,False,-0.04105699173196498,0.6350839399377836,136
26,-0.0673688247391928,0.3886113886113886,False,-0.04960761220742099,0.5662841303891947,136
27,0.017795748022152495,0.8481518481518482,False,-0.019307151234633814,0.8234571633648462,136
28,0.09132043399488739,0.2887112887112887,False,0.06998751718353613,0.41814279317226166,136
29,0.11154073535793764,0.1888111888111888,False,0.0978211277733223,0.25722666896706775,136
30,-0.17468676936181748,0.04595404595404595,False,-0.17903390144992673,0.03702526037776141,136
31,-0.1162460092244963,0.1978021978021978,False,-0.0974973687612536,0.2588123636333732,136
32,0.02628087169081489,0.7582417582417582,False,0.04102558227557024,0.6353430126089686,136
33,0.0027572747038391923,0.98001998001998,False,0.03531389343579119,0.6831611313203393,136
34,0.008598931513591583,0.9270729270729271,False,0.025303941293995713,0.7699692065920852,136
35,0.015589237979819578,0.8501498501498501,False,-0.00404698765085865,0.9627043969418668,136
36,0.09067195993079709,0.3206793206793207,False,0.05711447228576004,0.5089619167532069,136
37,0.01830458144323245,0.8241758241758241,False,0.0030515494943489582,0.9718736308909126,136
38,0.08255830465724781,0.35564435564435565,False,0.08107022306681297,0.3481148976470204,136
39,0.03403724461743596,0.6753246753246753,False,0.01128324318179702,0.8962707863392866,136
40,0.20997641005722734,0.016983016983016984,True,0.20172360952706925,0.01852116353131423,136
41,0.1776578960977589,0.04295704295704296,False,0.18049081700423583,0.03548854532808007,136
42,0.10013875046530965,0.23576423576423577,False,0.07147825830627033,0.40827283221951977,136
43,0.12775759753901877,0.14485514485514486,False,0.14555625315721166,0.09087269210038774,136
44,0.22434000948014438,0.07392607392607392,False,0.22760055952303865,0.07049180495363733,64
45,0.20705886530382847,0.0959040959040959,False,0.18828858047924715,0.13622868154850049,64
46,-0.2284423808795146,0.011988011988011988,True,-0.23642139439511778,0.005587204880326166,136
47,-0.1914472950148756,0.025974025974025976,True,-0.1929748678651234,0.024392968618979303,136
48,-0.18396858413348122,0.025974025974025976,True,-0.1859954098145118,0.03015913855023969,136
