feature_idx,train_pearson_r,train_pearson_p_emp,train_pearson_sig,train_spearman_rho,train_spearman_p,train_n_used,all_pearson_r,all_pearson_p_emp,all_pearson_sig,all_spearman_rho,all_spearman_p,all_n_used
0,0.29733790125596476,0.003996003996003996,True,0.3170640493123067,0.0006223303671764755,113,0.3344871709403491,0.000999000999000999,True,0.3376818276606094,3.2561456929890577e-07,218
1,0.1859200136763572,0.04095904095904096,False,0.33994259588626097,0.00022978595331919288,113,0.2791161970992996,0.000999000999000999,True,0.36507676461043076,2.822069677969365e-08,218
2,0.18556361945958294,0.058941058941058944,False,0.30825787282894757,0.0008948133298580647,113,0.2616160912052815,0.000999000999000999,True,0.34757126695663615,1.3831440351661652e-07,218
3,0.32413557551021843,0.000999000999000999,True,0.3187814381846242,0.00015528943246603797,136,0.3241404247190913,0.000999000999000999,True,0.29615728696667265,1.279112089999171e-06,258
4,0.26527868188506204,0.001998001998001998,True,0.34069956052223593,4.935908853098965e-05,136,0.28334753183933287,0.000999000999000999,True,0.35636093011489833,3.844817828289413e-09,258
5,0.24272599456706945,0.007992007992007992,True,0.2245746504681414,0.008577323889639037,136,0.29216074573254613,0.000999000999000999,True,0.2648502156510333,1.6274304082565016e-05,258
6,0.1419739088422356,0.07592407592407592,False,0.1921662526424498,0.02500854575007875,136,0.2177122481997193,0.000999000999000999,True,0.27429536663330634,7.804386744581394e-06,258
7,0.3937195412967411,0.000999000999000999,True,0.42188797854386706,3.129563962828995e-07,136,0.3855004417212614,0.000999000999000999,True,0.3915947828464786,6.950971105218546e-11,258
8,0.2558098570122078,0.002997002997002997,True,0.38487065211226346,3.7211026125394643e-06,136,0.3234718084798836,0.000999000999000999,True,0.37655350425003303,4.0900364721239375e-10,258
9,0.25031781318787816,0.004995004995004995,True,0.383282978169124,4.110973297659229e-06,136,0.3131850409481881,0.000999000999000999,True,0.38606795480728895,1.34715335414122e-10,258
10,-0.08550561687949125,0.37462537462537465,False,-0.10902229948408622,0.250363358400939,113,-0.08571615876503175,0.21578421578421578,False,-0.09617051569716478,0.1570511288402731,218
11,0.0953046225121953,0.3176823176823177,False,0.10646634011652034,0.26170832479018963,113,0.09944464808488956,0.14985014985014986,False,0.1094201002614864,0.1071532429975861,218
