feature_idx,pearson_r,pearson_p_emp,pearson_sig,spearman_rho,spearman_p,n_used
0,-0.6687531593693327,0.000999000999000999,True,-0.7039815173833236,3.399429411500184e-18,113
1,-0.5591034918826157,0.000999000999000999,True,-0.6809495409914386,1.0551797410869446e-16,113
2,-0.5265637258452622,0.000999000999000999,True,-0.6272545639903798,1.0575051238231899e-13,113
3,-0.5141883869699185,0.000999000999000999,True,-0.6069149472250345,4.800150738918492e-15,136
4,-0.5041256496400952,0.000999000999000999,True,-0.5638973383905193,8.793725474838692e-13,136
5,-0.4262828344710107,0.000999000999000999,True,-0.46169167602524364,1.5365877332071168e-08,136
6,-0.4343410248323816,0.000999000999000999,True,-0.47909261574449286,3.6279966505508386e-09,136
7,-0.5575475752908509,0.000999000999000999,True,-0.651389263298904,8.958803792272218e-18,136
8,-0.5263308585330321,0.000999000999000999,True,-0.628310645534117,2.6491154081077627e-16,136
9,-0.4773659783723381,0.000999000999000999,True,-0.6193001832423892,9.2184275203607e-16,136
10,0.27167721563036085,0.002997002997002997,True,0.276006072159444,0.0030857223319216065,113
11,-0.28471457813841516,0.000999000999000999,True,-0.26218515002756276,0.005026526652823285,113
12,-0.39277806999938053,0.000999000999000999,True,-0.41548279010592915,4.735781595884055e-06,113
13,-0.36338665735601827,0.000999000999000999,True,-0.34814486138988826,0.00015771210540785864,113
14,-0.2563456292850078,0.008991008991008992,True,-0.2853864153525958,0.0021843335171891883,113
15,0.6244257145017975,0.000999000999000999,True,0.665444411011828,8.98237052412327e-16,113
16,0.06488944446599254,0.5074925074925075,False,0.11428739284243143,0.2280730163246351,113
17,0.6033821370585231,0.000999000999000999,True,0.6336137508381203,5.004200244558625e-14,113
18,0.2540650307538905,0.007992007992007992,True,0.2716045598975949,0.00361422944789536,113
19,0.23032148482705278,0.013986013986013986,True,0.22703816306090369,0.015593927964526114,113
20,0.39234989133125847,0.000999000999000999,True,0.3725354899888333,4.837556772758164e-05,113
21,0.5449157818360153,0.000999000999000999,True,0.574610046523214,2.8329610062111055e-11,113
22,-0.12125984926623615,0.16683316683316685,False,-0.21032764423509576,0.01398151316531627,136
23,-0.0468925308195791,0.6083916083916084,False,-0.22102176461684,0.009715197114642206,136
24,0.0056223633785218476,0.9400599400599401,False,0.0035174756718196476,0.9675813356438837,136
25,-0.2376103548452359,0.005994005994005994,True,-0.29643246566300324,0.0004580532435865819,136
26,-0.1621897849984228,0.06493506493506493,False,-0.25290525787956714,0.0029723642448996803,136
27,-0.052290951326340505,0.5294705294705294,False,-0.1337833962586501,0.1204811986108358,136
28,0.04195938150089779,0.6163836163836164,False,0.04267456173719287,0.6218021457381585,136
29,-0.11154350264408394,0.2137862137862138,False,-0.10021946938874983,0.2456877586851854,136
30,0.03537366852880915,0.6793206793206793,False,0.043840424698382556,0.6123039374308652,136
31,-0.05511637724829684,0.5264735264735265,False,-0.11518179169877274,0.1817817016587995,136
32,-0.06399438773214086,0.46053946053946054,False,-0.09416891406351374,0.27550286311129,136
33,0.13318666357063944,0.1038961038961039,False,0.13378091041011875,0.12048815689195715,136
34,0.07447608951284673,0.3756243756243756,False,0.06548222201206587,0.4488030038008169,136
35,0.22914866844370152,0.008991008991008992,True,0.2577800068494882,0.002446876190880479,136
36,-0.2684468274823375,0.002997002997002997,True,-0.25159272985502945,0.003130261020878376,136
37,0.21688754608107802,0.00999000999000999,True,0.24497540106465215,0.004047407873655701,136
38,0.011640246623478175,0.8951048951048951,False,-0.011589025853019925,0.8934760176417225,136
39,0.17679408615430336,0.04495504495504495,False,0.21781502001143557,0.010854344938982973,136
40,-0.4662211241949601,0.000999000999000999,True,-0.48425572314404725,2.3271443969467937e-09,136
41,-0.20919483950712509,0.014985014985014986,True,-0.242188764861041,0.004501033766465592,136
42,-0.4856666107681684,0.000999000999000999,True,-0.5256625021302662,4.993991822468047e-11,136
43,-0.45918355541764566,0.000999000999000999,True,-0.554093151782988,2.6024320542180825e-12,136
44,-0.34056081289408463,0.005994005994005994,True,-0.44725552722847894,0.00021119786854468321,64
45,-0.019982530214103927,0.8661338661338661,False,-0.0687477577188651,0.5893476136923999,64
46,0.6797262684449885,0.000999000999000999,True,0.7101298640940263,3.6621517645161837e-22,136
47,0.575274527505047,0.000999000999000999,True,0.6455052598252664,2.183849554955205e-17,136
48,0.6511617028982123,0.000999000999000999,True,0.6680904059888967,6.395954620793032e-19,136
