feature_idx,train_pearson_r,train_pearson_p_emp,train_pearson_sig,train_spearman_rho,train_spearman_p,train_n_used,all_pearson_r,all_pearson_p_emp,all_pearson_sig,all_spearman_rho,all_spearman_p,all_n_used
0,0.05615823049553146,0.5374625374625375,False,0.07180670957408582,0.44976602978243424,113,0.07875101348484352,0.23676323676323677,False,0.07096410669260206,0.29691850295948014,218
1,-0.03294963435191079,0.7282717282717283,False,0.12422434853260902,0.18988324074900037,113,0.0470721488471593,0.4595404595404595,False,0.12328746269476235,0.0692493425517076,218
2,-0.013231445532577154,0.8741258741258742,False,0.11955334515704166,0.20721224286467077,113,0.04771833586579605,0.4905094905094905,False,0.13106140542964956,0.05332046747648834,218
3,0.13074571786191352,0.13586413586413587,False,0.11294445140139438,0.19047236808034843,136,0.11426116993291113,0.08291708291708291,False,0.06643854541724577,0.28771200901988353,258
4,0.06339000661178638,0.46053946053946054,False,0.14881707133032368,0.08378882533639304,136,0.0872850276529713,0.17382617382617382,False,0.14264396868224094,0.02191674921287924,258
5,0.08809732204012952,0.32867132867132864,False,0.08207574529486655,0.34214859441608825,136,0.09627553525471796,0.13386613386613386,False,0.0771063733868268,0.2170776436310017,258
6,-0.012262641464156256,0.8781218781218781,False,0.04845705382492077,0.5753329924390685,136,0.030861396019964737,0.6113886113886113,False,0.08155962097414175,0.19160127340703254,258
7,0.18791790107225947,0.03296703296703297,False,0.21338634237646126,0.012619878055585742,136,0.15074883146515092,0.012987012987012988,True,0.14932666214660203,0.016378592084914614,258
8,0.0510894876956645,0.5284715284715285,False,0.20361450296774836,0.01742674393771109,136,0.09964507163698177,0.11788211788211789,False,0.1591753804126228,0.010447149670229364,258
9,0.05850500676174353,0.5104895104895105,False,0.20161727157955764,0.018584438427943335,136,0.10647352525291148,0.1088911088911089,False,0.17392948728491195,0.005085931089900521,258
10,-0.028802807466729162,0.7762237762237763,False,-0.03997422026260476,0.6742113704444359,113,-0.018385687279288812,0.7882117882117882,False,-0.022108756563228547,0.7454877162835842,218
11,0.031066364301110726,0.7732267732267732,False,0.0322018049422537,0.7349173427316082,113,-0.012551408811303868,0.8521478521478522,False,-0.012034301760748808,0.8597682326694156,218
12,-0.05817431393564157,0.5724275724275725,False,-0.03015378189887824,0.7512077536989742,113,0.02134150139760054,0.7732267732267732,False,0.028010502024921342,0.6808722530872584,218
13,-0.06472304695539488,0.4995004995004995,False,-0.024891034160368378,0.7935574253814571,113,0.13213694419740096,0.04195804195804196,False,0.12867032202081324,0.05785904218910755,218
