feature_idx,train_pearson_r,train_pearson_p_emp,train_pearson_sig,train_spearman_rho,train_spearman_p,train_n_used,all_pearson_r,all_pearson_p_emp,all_pearson_sig,all_spearman_rho,all_spearman_p,all_n_used
0,0.06268751206296413,0.5034965034965035,False,0.09293707580939736,0.32754482781818045,113,0.1827808441235425,0.00999000999000999,True,0.18925761313470843,0.005052410874285176,218
1,0.06366917762735336,0.4835164835164835,False,0.09831146410356964,0.3002219565360929,113,0.1398736001603953,0.04495504495504495,False,0.15814212814762885,0.01947889201071068,218
2,0.08432786862804398,0.38461538461538464,False,0.09322953069291304,0.32601828793579973,113,0.12116901851210406,0.07392607392607392,False,0.14817806124594227,0.028718156918264365,218
3,-0.03378453969608096,0.7042957042957043,False,-0.027188927190685122,0.7533645364289274,136,0.0870930032030313,0.17182817182817184,False,0.08738231924185394,0.16168387405835363,258
4,0.09768640386659208,0.24375624375624375,False,0.10458682095478113,0.22560819390011472,136,0.12389610466310974,0.04895104895104895,False,0.13911878280197204,0.02544327677807411,258
5,-0.03384297705424648,0.6973026973026973,False,-0.056577763108019305,0.5129581010326288,136,0.08887072362950922,0.17582417582417584,False,0.0823280879972894,0.18743587216601285,258
6,0.1396062565977428,0.1088911088911089,False,0.1565970387618351,0.06866578982667065,136,0.15537811517221134,0.012987012987012988,True,0.20801863261872017,0.0007740809343121233,258
7,-0.01921456687260666,0.8151848151848152,False,-0.028919684111540514,0.7382169444823292,136,0.085747955456818,0.16883116883116883,False,0.10346580848468051,0.09725883825575382,258
8,0.02282514534017594,0.7822177822177823,False,0.06499089471346958,0.4522212744494957,136,0.12330944865444957,0.053946053946053944,False,0.15305102037985863,0.013857269659524546,258
9,0.008073884253080463,0.9180819180819181,False,0.048367664194351345,0.5760388391285605,136,0.0978270080942039,0.11788211788211789,False,0.13230457523166547,0.03365731224197735,258
10,-0.01887884955994168,0.8601398601398601,False,-0.0031152802809279595,0.9738757407142917,113,0.03988147901706551,0.5754245754245755,False,0.06491557985430417,0.34010220787891493,218
11,0.051850600166845943,0.5864135864135864,False,-0.008629538301999015,0.9277190665383491,113,0.037189679630618186,0.6033966033966034,False,-0.010156035704997277,0.8814796017035477,218
12,0.08786597327806016,0.32867132867132864,False,0.08889356915905006,0.3491186080752793,113,0.09289959458909305,0.17582417582417584,False,0.11635081500351072,0.08655657488495846,218
13,0.05594426250328328,0.5774225774225774,False,0.07500831990691408,0.4297630852463871,113,0.10343922906089781,0.12287712287712288,False,0.1401502212281094,0.03867649020630818,218
14,0.027315601638208904,0.7692307692307693,False,-0.07082494352966798,0.4560025720256746,113,0.061573687898209425,0.36363636363636365,False,0.01461620934745596,0.8300975076792372,218
15,-0.15088345703918699,0.11888111888111888,False,-0.06142824096801186,0.5180581696640361,113,-0.15573121356714986,0.016983016983016984,True,-0.06713060450788913,0.32384537867021673,218
16,-0.040976746961590954,0.6813186813186813,False,-0.07371558455224331,0.43777775729560653,113,-0.02567677821767218,0.7052947052947053,False,-0.08016735360902875,0.23849774881030802,218
17,-0.11606822155087809,0.2217782217782218,False,-0.02739751256587517,0.7733043011645515,113,-0.08853292165692592,0.1838161838161838,False,0.02555606844320183,0.7074947737305616,218
18,-0.10965444002532745,0.23376623376623376,False,-0.13091806437728212,0.1669222247668086,113,-0.22191085373486075,0.000999000999000999,True,-0.2198686631740116,0.001084106838877024,218
19,-0.14405387212587512,0.11288711288711288,False,-0.1354956190757885,0.15244983251835262,113,-0.14109882119983283,0.03596403596403597,False,-0.10537905955275323,0.12083449985008192,218
