feature_idx,train_pearson_r,train_pearson_p_emp,train_pearson_sig,train_spearman_rho,train_spearman_p,train_n_used,all_pearson_r,all_pearson_p_emp,all_pearson_sig,all_spearman_rho,all_spearman_p,all_n_used
0,-0.6687531593693327,0.000999000999000999,True,-0.7039815173833236,3.399429411500184e-18,113,-0.6460525835328571,0.000999000999000999,True,-0.6996846135815996,2.215211142655295e-33,218
1,-0.5591034918826157,0.000999000999000999,True,-0.6809495409914386,1.0551797410869446e-16,113,-0.5889619776011381,0.000999000999000999,True,-0.6847872544998291,1.6311786170837014e-31,218
2,-0.5265637258452622,0.000999000999000999,True,-0.6272545639903798,1.0575051238231899e-13,113,-0.5657316872184422,0.000999000999000999,True,-0.6376382476340332,2.8163731123220915e-26,218
3,-0.5141883869699185,0.000999000999000999,True,-0.6069149472250345,4.800150738918492e-15,136,-0.4984044068091784,0.000999000999000999,True,-0.6069148684274672,2.3594015554593145e-27,258
4,-0.5041256496400952,0.000999000999000999,True,-0.5638973383905193,8.793725474838692e-13,136,-0.4948970906349258,0.000999000999000999,True,-0.572324399823954,7.52336158341098e-24,258
5,-0.4262828344710107,0.000999000999000999,True,-0.46169167602524364,1.5365877332071168e-08,136,-0.46965400006171354,0.000999000999000999,True,-0.5247138033811369,1.179022115810137e-19,258
6,-0.4343410248323816,0.000999000999000999,True,-0.47909261574449286,3.6279966505508386e-09,136,-0.4771330770809855,0.000999000999000999,True,-0.5277077404592437,6.712531128578351e-20,258
7,-0.5575475752908509,0.000999000999000999,True,-0.651389263298904,8.958803792272218e-18,136,-0.5605174097414598,0.000999000999000999,True,-0.6613190874061898,8.054688318271326e-34,258
8,-0.5263308585330321,0.000999000999000999,True,-0.628310645534117,2.6491154081077627e-16,136,-0.5556618798578925,0.000999000999000999,True,-0.6394909660817499,4.541345978745017e-31,258
9,-0.4773659783723381,0.000999000999000999,True,-0.6193001832423892,9.2184275203607e-16,136,-0.5249919010410093,0.000999000999000999,True,-0.6337630867342511,2.2016545728885934e-30,258
10,0.27167721563036085,0.004995004995004995,True,0.276006072159444,0.0030857223319216065,113,0.27776629503262634,0.000999000999000999,True,0.2662616212302413,6.868257955969044e-05,218
11,-0.28471457813841516,0.006993006993006993,True,-0.26218515002756276,0.005026526652823285,113,-0.32880858860018863,0.000999000999000999,True,-0.32211414488193274,1.1813505622108448e-06,218
