feature_idx,train_pearson_r,train_pearson_p_emp,train_pearson_sig,train_spearman_rho,train_spearman_p,train_n_used,all_pearson_r,all_pearson_p_emp,all_pearson_sig,all_spearman_rho,all_spearman_p,all_n_used
0,0.0016614305194993968,0.988011988011988,False,0.0343392944714244,0.7180399643324327,113,0.11416988604307726,0.08091908091908091,False,0.1101222101991821,0.10490559867839812,218
1,-0.030343530902076907,0.7562437562437563,False,0.09510604939899275,0.3163321003568785,113,0.09159863141173176,0.18081918081918083,False,0.14857254719115925,0.02829134955305271,218
2,-0.004152283429321706,0.967032967032967,False,0.08628988560525125,0.3634706197937185,113,0.08670908012560072,0.21178821178821178,False,0.14857664637420742,0.028286943159269058,218
3,0.06972534591724198,0.39760239760239763,False,0.06726177735828283,0.43654436735838786,136,0.1337619473563973,0.03196803196803197,False,0.09149853378451857,0.1427508452045032,258
4,0.08426166210879281,0.34265734265734266,False,0.15409632164787795,0.07326384749910553,136,0.13208028597784696,0.030969030969030968,False,0.18944252834826947,0.0022443031359981915,258
5,0.028972131670791525,0.7422577422577422,False,0.008099408855916673,0.925439448543011,136,0.11891605791283386,0.057942057942057944,False,0.08754824973739583,0.1608858950261245,258
6,0.030278326004118117,0.7302697302697303,False,0.07105566017160253,0.4110567582290108,136,0.0955665409573142,0.11888111888111888,False,0.13894825407454592,0.025625592061878096,258
7,0.13693005472692582,0.10989010989010989,False,0.1564590514660968,0.06891324199279172,136,0.16864718612069104,0.004995004995004995,True,0.17057244497765284,0.006020689508041709,258
8,0.04000775747571035,0.6243756243756243,False,0.16283769795185,0.058207512044481345,136,0.1380292545848745,0.026973026973026972,False,0.1823349159652909,0.0032907192474134622,258
9,0.04564600636565721,0.5874125874125874,False,0.1604691259952107,0.06201128414342915,136,0.13482283760399916,0.04295704295704296,False,0.19204584753522164,0.0019441904669151393,258
10,0.004160811875550671,0.974025974025974,False,-0.015331544383677363,0.8719564095693505,113,0.004832499449688327,0.9400599400599401,False,-0.0060474661912297886,0.9292589454477063,218
11,0.002366329753787722,0.972027972027972,False,0.002679339855254448,0.9775304387883548,113,-0.004623878405818686,0.945054945054945,False,6.79293190842152e-05,0.9992043510884056,218
12,-0.09166688342568743,0.32967032967032966,False,-0.05692650800787086,0.5492430833026029,113,0.03153122545526427,0.6373626373626373,False,0.033923082114045766,0.6183908974224422,218
13,-0.12245411232057167,0.2077922077922078,False,-0.08486819506981011,0.37145871134798836,113,0.11486107283645114,0.08191808191808192,False,0.11238788722967188,0.0979052243768129,218
14,0.10437642845004115,0.26573426573426573,False,0.12960517890102885,0.171255220338669,113,0.16401260176697618,0.00999000999000999,True,0.1737210351917754,0.010176210991126953,218
15,-0.2187916877964409,0.016983016983016984,True,-0.23385968071003482,0.012667110298677432,113,-0.2621529823303418,0.000999000999000999,True,-0.29234202304500206,1.1450315621079506e-05,218
16,0.15982978570610018,0.08791208791208792,False,0.17119593634020627,0.06982983690988162,113,0.11755989409846317,0.08191808191808192,False,0.11095610115069862,0.1022845569146588,218
17,-0.22973473410807765,0.011988011988011988,True,-0.24836260664554088,0.007990472933533445,113,-0.24398842766891948,0.001998001998001998,True,-0.2730489252299293,4.383813404650649e-05,218
18,-0.21667881319000176,0.016983016983016984,True,-0.18598908904182307,0.04856925936025042,113,-0.1522248642537349,0.01898101898101898,True,-0.14054751797796924,0.03812275944412092,218
19,-0.2997564757997534,0.002997002997002997,True,-0.3073038772761227,0.0009301009511101669,113,-0.2050198862850055,0.003996003996003996,True,-0.23416524603000113,0.0004900689594797238,218
20,-0.0937697271651885,0.31868131868131866,False,-0.09315437955152325,0.32641012150060367,113,-0.22234847014404202,0.000999000999000999,True,-0.2090682906162764,0.0019126014068984178,218
21,-0.10670846087492658,0.2787212787212787,False,-0.11455124272841398,0.22699391022803708,113,-0.22562700442298236,0.000999000999000999,True,-0.2323071449140166,0.0005448504207145598,218
22,0.03508212361740519,0.6693306693306693,False,0.06595612175904239,0.4455197633319906,136,0.04548566532951758,0.47052947052947053,False,0.08524539039580309,0.172227604891297,258
23,-0.03319634938054115,0.7002997002997003,False,0.022285441411065077,0.796774448963263,136,-0.023730661883287645,0.7182817182817183,False,0.07028140049544415,0.26067538999656137,258
24,-0.10492758223770898,0.21878121878121878,False,-0.14749564130791012,0.08660432440679057,136,0.03515193593481176,0.5774225774225774,False,-0.020711946614352918,0.7405665300321839,258
25,0.028556764421089238,0.7242757242757243,False,0.07480368816720404,0.38675629243497384,136,0.05196393961542989,0.4175824175824176,False,0.10381533136835212,0.09612783643853778,258
26,0.03832801963725731,0.6533466533466533,False,0.06989239584843454,0.4187772558904357,136,0.045636539538563545,0.45754245754245754,False,0.09963596337076087,0.1103560867337582,258
27,0.06993135492275074,0.4175824175824176,False,0.04323626628538346,0.6172180689197037,136,0.03853192766121589,0.5274725274725275,False,0.04775445850808892,0.44500943856068165,258
28,-0.10834728745238464,0.20679320679320679,False,-0.14634203063057755,0.08912355586031351,136,0.03530494020557978,0.5634365634365635,False,-0.017665271482967215,0.7776440991372481,258
29,-0.021982534632280202,0.8001998001998002,False,-0.06277283204481293,0.46783256436601456,136,0.024585667388739386,0.6633366633366633,False,-0.011864286076735168,0.8495834312440553,258
30,0.0022230062750933574,0.974025974025974,False,-0.01606849349305514,0.8527023374907736,136,0.027409683018199692,0.6783216783216783,False,-0.003093693905170114,0.9605599609554687,258
31,0.11110087441909484,0.2097902097902098,False,0.09810517580244696,0.25584096980212784,136,0.1278489921465819,0.03496503496503497,False,0.1063522240050223,0.08822932096549481,258
32,0.06619421076578037,0.46153846153846156,False,0.07637481902691848,0.3768331752925991,136,0.12901772568384942,0.04395604395604396,False,0.10665342697693464,0.08732712424784594,258
33,-0.006933485842778649,0.945054945054945,False,-0.0027995572922715345,0.9741954257220793,136,0.07381207262545574,0.25274725274725274,False,0.0738799275507209,0.23699079509877585,258
34,0.05308860430816906,0.5394605394605395,False,0.04566657162445024,0.5975555285340143,136,0.14511950196075463,0.017982017982017984,True,0.1344828846634839,0.03081567257516634,258
35,-0.11010459662056313,0.19480519480519481,False,-0.12844899807462815,0.13614166295295055,136,-0.11080027284563118,0.07092907092907093,False,-0.13249749042608985,0.03339696562908141,258
36,0.12588341228068495,0.13986013986013987,False,0.12201242971386243,0.1570520046018082,136,0.11708340639408071,0.04695304695304695,False,0.10040346530975346,0.10762604261926809,258
37,-0.08929463366094569,0.29270729270729273,False,-0.12351839846418786,0.15195613195378657,136,-0.08399138642970852,0.19080919080919082,False,-0.1255055025167796,0.04399917620396201,258
38,-0.012193350157155149,0.8881118881118881,False,-0.04648471810900198,0.5910001772395467,136,0.025196577971003442,0.6893106893106893,False,0.01462990913925898,0.815091660975582,258
39,-0.05305350406555052,0.5164835164835165,False,-0.10505821421540759,0.22351226857529344,136,-0.05255051358783606,0.3966033966033966,False,-0.10409214114183493,0.09523956856372782,258
40,0.15659235085206413,0.07192807192807193,False,0.13694179299833814,0.11188886295840414,136,0.1822451283997968,0.003996003996003996,True,0.17083016442193,0.0059438233969793175,258
41,0.16987646026494246,0.056943056943056944,False,0.10678380340848881,0.21595746915607336,136,0.2197043324431429,0.000999000999000999,True,0.18075890323197488,0.0035756700891780018,258
42,0.14194642690824383,0.10589410589410589,False,0.14076463674916412,0.10213694694740773,136,0.15779046315955994,0.011988011988011988,True,0.14220810454872876,0.02232851485706543,258
43,0.2156655575505984,0.00999000999000999,True,0.19361593428662505,0.023914212485136234,136,0.23070275995132972,0.000999000999000999,True,0.2233487206406888,0.0002993351347712625,258
44,0.14328541322061888,0.24675324675324675,False,0.1754140696401492,0.16561537952685051,64,0.0824692641296239,0.4155844155844156,False,0.11411350473126851,0.26072747285362863,99
45,0.052925254787922656,0.6933066933066933,False,0.004487661113540403,0.9719251534054343,64,0.11087676965637089,0.26873126873126874,False,0.0680022049435824,0.5036262271461971,99
46,-0.24750902460838176,0.003996003996003996,True,-0.27154016347012827,0.0013850460691155733,136,-0.12652656360715214,0.04395604395604396,False,-0.14793697093351701,0.017417257319863384,258
47,-0.14512310320589603,0.07892107892107893,False,-0.1681616836300836,0.05035414066840602,136,-0.02371074495094006,0.6963036963036963,False,-0.053462820465211766,0.392450412570465,258
48,-0.20200489381900621,0.026973026973026972,False,-0.22051467369755962,0.00988800486629389,136,-0.18604888041731305,0.002997002997002997,True,-0.192010288382745,0.0019480301675507447,258
